agent_0_x,agent_0_y,agent_0_z,agent_1_x,agent_1_y,agent_1_z,agent_2_x,agent_2_y,agent_2_z,agent_3_x,agent_3_y,agent_3_z,agent_4_x,agent_4_y,agent_4_z,agent_5_x,agent_5_y,agent_5_z,agent_6_x,agent_6_y,agent_6_z,agent_7_x,agent_7_y,agent_7_z,agent_8_x,agent_8_y,agent_8_z,agent_9_x,agent_9_y,agent_9_z,agent_10_x,agent_10_y,agent_10_z,agent_11_x,agent_11_y,agent_11_z,agent_12_x,agent_12_y,agent_12_z,agent_13_x,agent_13_y,agent_13_z,agent_14_x,agent_14_y,agent_14_z,agent_15_x,agent_15_y,agent_15_z,agent_16_x,agent_16_y,agent_16_z,agent_17_x,agent_17_y,agent_17_z,agent_18_x,agent_18_y,agent_18_z,agent_19_x,agent_19_y,agent_19_z,agent_20_x,agent_20_y,agent_20_z,agent_21_x,agent_21_y,agent_21_z,agent_22_x,agent_22_y,agent_22_z,agent_23_x,agent_23_y,agent_23_z,agent_24_x,agent_24_y,agent_24_z,agent_25_x,agent_25_y,agent_25_z,agent_26_x,agent_26_y,agent_26_z,agent_27_x,agent_27_y,agent_27_z
-1.287965178489685,-1.7609113454818726,-2.560546875,-0.9437410235404968,-1.75215744972229,-4.142968654632568,-0.011033537797629833,-1.7539135217666626,-4.20937442779541,-1.287965178489685,-1.7609113454818726,-2.560546875,-1.287965178489685,-1.7609113454818726,-2.560546875,-2.0432229042053223,-1.717589020729065,-5.497655868530273,1.6521905660629272,-1.5417289733886719,-3.333202838897705,-0.35093316435813904,-1.7510267496109009,-3.9832029342651367,2.323483943939209,-1.229923963546753,-4.6875,0.3243991732597351,-1.652435064315796,-6.841404914855957,-2.6698503494262695,-1.7357417345046997,-5.307811737060547,-2.070568561553955,-1.7580887079238892,-4.116405963897705,-1.287965178489685,-1.7609113454818726,-2.560546875,2.2874703407287598,-1.5764812231063843,-4.614843845367432,1.670197606086731,-1.5234060287475586,-3.3695311546325684,-2.5142338275909424,-1.7492070198059082,-4.998437404632568,1.6521905660629272,-1.5417289733886719,-3.333202838897705,,,,,,,-0.7664927244186401,-1.7778549194335938,-6.775781154632568,,,,2.2988600730895996,-1.247548222541809,-4.717187881469727,,,,,,,,,,,,,,,,,,
-1.2840381860733032,-1.7554922103881836,-2.552734375,-0.9346818327903748,-1.7352442741394043,-4.103124618530273,-0.01953212544322014,-1.7354735136032104,-4.14453125,-1.2840381860733032,-1.7554922103881836,-2.552734375,-1.2840381860733032,-1.7554922103881836,-2.552734375,-2.0161757469177246,-1.6834543943405151,-5.424843788146973,1.4298759698867798,-1.328250765800476,-2.884765625,-0.3392236530780792,-1.7334505319595337,-3.943359375,,,,0.32183900475502014,-1.62539803981781,-6.788434982299805,-2.605801820755005,-1.6940256357192993,-5.180468559265137,,,,-1.2840381860733032,-1.7554922103881836,-2.552734375,2.305227041244507,-1.5886915922164917,-4.650781154632568,1.4486567974090576,-1.321323275566101,-2.9226560592651367,-2.4611878395080566,-1.7122275829315186,-4.892968654632568,1.4298759698867798,-1.328250765800476,-2.884765625,-2.7272303104400635,-1.1399368047714233,-5.421875,,,,-0.7652743458747864,-1.7466459274291992,-6.764688491821289,-2.041100025177002,-1.733001708984375,-4.057812213897705,2.3466615676879883,-1.242159366607666,-4.734375,,,,,,,,,,,,,,,,,,
-1.2948368787765503,-1.7703341245651245,-2.57421875,-0.948194146156311,-1.760462760925293,-4.162499904632568,-0.01981322281062603,-1.7617541551589966,-4.20703125,-1.2948368787765503,-1.7703341245651245,-2.57421875,-1.2948368787765503,-1.7703341245651245,-2.57421875,-2.0620927810668945,-1.7219531536102295,-5.54843807220459,1.4279489517211914,-1.3265272378921509,-2.880859375,-0.34408342838287354,-1.758453369140625,-4.0,,,,0.2912973463535309,-1.5388842821121216,-6.426412105560303,-2.672197103500366,-1.7373385429382324,-5.312499523162842,-2.0803842544555664,-1.7664750814437866,-4.135937213897705,-1.2948368787765503,-1.7703341245651245,-2.57421875,2.378817558288574,-1.639522671699524,-4.799219131469727,1.444406509399414,-1.3235894441604614,-2.9140625,-2.504399299621582,-1.7528109550476074,-4.978906631469727,1.4279489517211914,-1.3265272378921509,-2.880859375,,,,,,,-0.7781862020492554,-1.7864469289779663,-6.75452995300293,-2.0332276821136475,-1.7685717344284058,-4.042187213897705,2.427996873855591,-1.2955448627471924,-4.8984375,,,,,,,,,,,,,,,,,,
-1.2810579538345337,-1.7515153884887695,-2.546875,-0.9369147419929504,-1.7395660877227783,-4.113124847412109,-0.01945280283689499,-1.740591049194336,-4.135936737060547,-1.2810579538345337,-1.7515153884887695,-2.546875,-1.2810579538345337,-1.7515153884887695,-2.546875,-2.0556840896606445,-1.6955831050872803,-5.5004682540893555,1.349539875984192,-1.253670334815979,-2.72265625,-0.34019237756729126,-1.738690733909607,-3.955078125,2.295971155166626,-1.240736722946167,-4.691250324249268,0.32374516129493713,-1.6348766088485718,-6.827341556549072,-2.629312515258789,-1.7094753980636597,-5.227343559265137,-2.0599098205566406,-1.7405710220336914,-4.095312595367432,-1.2810579538345337,-1.7515153884887695,-2.546875,2.3021559715270996,-1.586664080619812,-4.64453125,1.3559290170669556,-1.2367925643920898,-2.735546588897705,-2.482344388961792,-1.7271043062210083,-4.935155868530273,1.349539875984192,-1.253670334815979,-2.72265625,,,,,,,-0.823043167591095,-1.7639604806900024,-6.776406288146973,-2.020613431930542,-1.740868091583252,-4.017187118530273,,,,,,,,,,,,,,,,,,,,,
-1.299857497215271,-1.7770130634307861,-2.583984375,-0.9566949605941772,-1.7758623361587524,-4.199062347412109,-0.011273239739239216,-1.7715040445327759,-4.23046875,-1.299857497215271,-1.7770130634307861,-2.583984375,-1.299857497215271,-1.7770130634307861,-2.583984375,-2.1188771724700928,-1.7398066520690918,-5.606249809265137,1.377501130104065,-1.2797194719314575,-2.779296875,-0.3453209698200226,-1.7722530364990234,-4.012499809265137,2.3210229873657227,-1.2950149774551392,-4.783594131469727,0.29159268736839294,-1.5416992902755737,-6.438599109649658,-2.697572708129883,-1.764785885810852,-5.362499713897705,-2.0927412509918213,-1.785428524017334,-4.16015625,-1.299857497215271,-1.7770130634307861,-2.583984375,2.309323787689209,-1.5916757583618164,-4.659375190734863,1.377501130104065,-1.2797194719314575,-2.779296875,-2.550196886062622,-1.7740660905838013,-5.069531440734863,1.3776947259902954,-1.256717562675476,-2.7796874046325684,,,,,,,-0.7930195331573486,-1.787413477897644,-6.75859260559082,-2.0538337230682373,-1.7862836122512817,-4.082812309265137,,,,,,,,,,,,,,,,,,,,,
-1.2997379302978516,-1.7770885229110718,-2.583984375,-0.9526335597038269,-1.7687933444976807,-4.182031154632568,-0.011100441217422485,-1.7716399431228638,-4.23046875,-1.2997379302978516,-1.7770885229110718,-2.583984375,-1.2997379302978516,-1.7770885229110718,-2.583984375,-2.1133108139038086,-1.72396981716156,-5.592187404632568,1.3921211957931519,-1.2932978868484497,-2.80859375,-0.34414538741111755,-1.7672041654586792,-4.000781059265137,,,,0.29421088099479675,-1.5408470630645752,-6.490630626678467,-2.675711154937744,-1.7508213520050049,-5.319530963897705,-2.0748651027679443,-1.7704726457595825,-4.125,-1.2997379302978516,-1.7770885229110718,-2.583984375,2.3489863872528076,-1.60917329788208,-4.739062309265137,1.3921211957931519,-1.2932978868484497,-2.80859375,,,,1.3917338848114014,-1.275376319885254,-2.8078126907348633,,,,,,,-0.807870626449585,-1.8040655851364136,-6.767343521118164,-2.0465714931488037,-1.7717788219451904,-4.068750381469727,2.3615734577178955,-1.3132033348083496,-4.887812614440918,,,,,,,,,,,,,,,,,,
-1.2958416938781738,-1.771578311920166,-2.576171875,-0.9508999586105347,-1.7652595043182373,-4.174218654632568,-0.019849833101034164,-1.761592984199524,-4.20703125,-1.2958416938781738,-1.771578311920166,-2.576171875,-1.2958416938781738,-1.771578311920166,-2.576171875,-2.111607074737549,-1.7222124338150024,-5.587499618530273,1.3384724855422974,-1.2489545345306396,-2.700390338897705,-0.3431771695613861,-1.7618086338043213,-3.9890618324279785,2.2651405334472656,-1.2593320608139038,-4.688281059265137,0.2934509515762329,-1.5503093004226685,-6.475161075592041,-2.6757802963256836,-1.7505245208740234,-5.319530963897705,-2.072953701019287,-1.7685691118240356,-4.12109375,-1.2958416938781738,-1.771578311920166,-2.576171875,2.250213623046875,-1.5412747859954834,-4.539843559265137,1.349121332168579,-1.2305171489715576,-2.721874713897705,,,,1.3407961130142212,-1.2454829216003418,-2.705078125,,,,,,,-0.8076225519180298,-1.7888734340667725,-6.764686584472656,-2.054090976715088,-1.7695038318634033,-4.083593845367432,,,,,,,,,,,,,,,,,,,,,
-1.3046889305114746,-1.783689022064209,-2.59375,-0.961907148361206,-1.78571355342865,-4.222499847412109,-0.02013501524925232,-1.7861647605895996,-4.265625,-1.3046889305114746,-1.783689022064209,-2.59375,-1.3046889305114746,-1.783689022064209,-2.59375,-2.1325809955596924,-1.7393577098846436,-5.64296817779541,1.2885143756866455,-1.1969449520111084,-2.599609375,-0.3394593596458435,-1.785996913909912,-4.043749809265137,,,,0.29754456877708435,-1.5720641613006592,-6.565786361694336,-2.6946542263031006,-1.762911319732666,-5.357031345367432,-2.086716413497925,-1.7803395986557007,-4.1484375,-1.3046889305114746,-1.783689022064209,-2.59375,2.339655876159668,-1.602584719657898,-4.720312595367432,1.2968395948410034,-1.1828588247299194,-2.616405963897705,,,,1.2885143756866455,-1.1969449520111084,-2.599609375,,,,,,,-0.8188933730125427,-1.8108445405960083,-6.741250991821289,-2.0764987468719482,-1.7802289724349976,-4.128124713897705,2.3632705211639404,-1.313936471939087,-4.891406059265137,,,,,,,,,,,,,,,,,,
-1.2958080768585205,-1.771694540977478,-2.576171875,-0.9598962664604187,-1.782274842262268,-4.214062213897705,-0.02010457217693329,-1.7844980955123901,-4.282655715942383,-1.2958080768585205,-1.771694540977478,-2.576171875,-1.2958080768585205,-1.771694540977478,-2.576171875,-2.149411201477051,-1.7437076568603516,-5.656561851501465,1.273119330406189,-1.1826375722885132,-2.568359375,-0.34678488969802856,-1.7809466123580933,-4.032031059265137,,,,0.30193012952804565,-1.580581784248352,-6.658598899841309,-2.709113121032715,-1.772578239440918,-5.385937213897705,,,,-1.2958080768585205,-1.771694540977478,-2.576171875,2.3553194999694824,-1.6133317947387695,-4.751562595367432,1.273119330406189,-1.1826375722885132,-2.568359375,,,,1.2715703248977661,-1.1651532649993896,-2.5652341842651367,,,,-2.872194528579712,-1.2125808000564575,-5.710156440734863,-0.8357250690460205,-1.8174089193344116,-6.765000820159912,-2.0803658962249756,-1.7837255001068115,-4.135936737060547,2.384890556335449,-1.3157004117965698,-4.935781002044678,,,,,,,,,,,,,,,,,,
-1.3420391082763672,-1.8347266912460327,-2.66796875,-0.9965243339538574,-1.8499311208724976,-4.374374866485596,-0.02092171274125576,-1.8548519611358643,-4.4296875,-1.3420391082763672,-1.8347266912460327,-2.66796875,-1.3420391082763672,-1.8347266912460327,-2.66796875,-2.2385315895080566,-1.8058018684387207,-5.858593940734863,1.3185272216796875,-1.224816918373108,-2.66015625,-0.3602040708065033,-1.8491315841674805,-4.186717987060547,,,,0.3107481300830841,-1.6132906675338745,-6.85750675201416,-2.8074748516082764,-1.8366801738739014,-5.581249713897705,-2.165339708328247,-1.8473851680755615,-4.3046875,-1.3420391082763672,-1.8347266912460327,-2.66796875,2.510816812515259,-1.7198055982589722,-5.065625190734863,1.3185272216796875,-1.224816918373108,-2.66015625,,,,1.3334354162216187,-1.216230034828186,-2.6902339458465576,,,,,,,-0.6593703627586365,-1.657842993736267,-6.691095352172852,-2.1857750415802,-1.8467004299163818,-4.345312595367432,2.508580207824707,-1.3887121677398682,-5.169843673706055,,,,,,,,,,,,,,,,,,
-1.3007824420928955,-1.7783225774765015,-2.5859375,-0.9563291072845459,-1.7752912044525146,-4.197812080383301,-0.020133228972554207,-1.7812758684158325,-4.25390625,-1.3007824420928955,-1.7783225774765015,-2.5859375,-1.3007824420928955,-1.7783225774765015,-2.5859375,-2.1480023860931396,-1.723396897315979,-5.59109354019165,1.2787920236587524,-1.187962532043457,-2.580078125,-0.3461909294128418,-1.7770421504974365,-4.023437023162842,2.3747546672821045,-1.314718246459961,-4.894218444824219,0.29793402552604675,-1.5746076107025146,-6.5762553215026855,-2.700597047805786,-1.755601406097412,-5.368749618530273,-2.065925121307373,-1.7797123193740845,-4.107030868530273,-1.3007824420928955,-1.7783225774765015,-2.5859375,2.3748161792755127,-1.6267449855804443,-4.791406154632568,1.2787920236587524,-1.187962532043457,-2.580078125,,,,1.296603798866272,-1.1826931238174438,-2.6160151958465576,,,,-2.824387550354004,-1.1688135862350464,-5.614843368530273,-0.8212308287620544,-1.7876880168914795,-6.759842872619629,-2.075356960296631,-1.77923583984375,-4.125781059265137,,,,,,,,,,,,,,,,,,,,,
-1.3126144409179688,-1.7944360971450806,-2.609375,-0.9761193990707397,-1.8118925094604492,-4.284375190734863,-0.02068455144762993,-1.8237969875335693,-4.35546875,-1.3126144409179688,-1.7944360971450806,-2.609375,-1.3126144409179688,-1.7944360971450806,-2.609375,-2.189988851547241,-1.7711573839187622,-5.669374465942383,1.3308292627334595,-1.2139469385147095,-2.6851558685302734,-0.35210564732551575,-1.815585732460022,-4.091405868530273,,,,0.309262216091156,-1.6350544691085815,-6.828754425048828,-2.759634017944336,-1.7939132452011108,-5.485937118530273,,,,-1.3126144409179688,-1.7944360971450806,-2.609375,2.462634325027466,-1.6973069906234741,-4.96875,1.312630534172058,-1.2194336652755737,-2.6484375,,,,1.312630534172058,-1.2194336652755737,-2.6484375,,,,-2.921942710876465,-1.2212467193603516,-5.80859375,-0.642825186252594,-1.6158891916275024,-6.52156400680542,-2.09507417678833,-1.8134413957595825,-4.164844036102295,2.440927743911743,-1.3736841678619385,-5.074374675750732,-1.3126144409179688,-1.7944360971450806,-2.609375,,,,,,,,,,,,,,,
-1.3410189151763916,-1.8334002494812012,-2.666015625,-0.9937662482261658,-1.8449451923370361,-4.362499713897705,-0.020852448418736458,-1.862085223197937,-4.424842834472656,-1.3410189151763916,-1.8334002494812012,-2.666015625,-1.3410189151763916,-1.8334002494812012,-2.666015625,-2.209230422973633,-1.7868882417678833,-5.719686985015869,1.3408113718032837,-1.2455217838287354,-2.705078125,-0.35908252000808716,-1.85234797000885,-4.174218654632568,,,,0.3087705373764038,-1.5885292291641235,-6.812351703643799,-2.811325788497925,-1.7693849802017212,-5.589062213897705,,,,-1.3410189151763916,-1.8334002494812012,-2.666015625,2.5031065940856934,-1.725074052810669,-5.050000190734863,1.359786033630371,-1.2402691841125488,-2.743359088897705,,,,1.3408113718032837,-1.2455217838287354,-2.705078125,,,,-2.9217512607574463,-1.2091450691223145,-5.80859375,-0.6841563582420349,-1.6847736835479736,-6.799528121948242,-2.1079049110412598,-1.8334171772003174,-4.190624713897705,2.4662363529205322,-1.398510217666626,-5.126562118530273,,,,,,,,,,,,,,,,,,
